notation,ko_label,en_label
Condensed Matter,응축물질물리,Condensed Matter
Superconductivity,초전도성,Superconductivity
Magnetism,자성,Magnetism
Semiconductors,반도체,Semiconductors
Optical properties,광학적 성질,Optical properties
Electronic properties,전자적 성질,Electronic properties
Structural properties,구조적 성질,Structural properties
Thermal properties,열적 성질,Thermal properties
Mechanical properties,기계적 성질,Mechanical properties
Phase transitions,상전이,Phase transitions
Thin films,박막,Thin films
Nanostructures,나노구조,Nanostructures
Particles and Fields,입자와 장,Particles and Fields
Elementary particles,기본 입자,Elementary particles
Quarks,쿼크,Quarks
Leptons,렙톤,Leptons
Gauge bosons,게이지 보손,Gauge bosons
Higgs boson,힉스 보손,Higgs boson
Quantum field theory,양자 장 이론,Quantum field theory
QCD,양색역학,Quantum chromodynamics
QED,양자전기역학,Quantum electrodynamics
Gravitation and Cosmology,중력과 우주론,Gravitation and Cosmology
General relativity,일반 상대성 이론,General relativity
Cosmology,우주론,Cosmology
Dark matter,암흑 물질,Dark matter
Dark energy,암흑 에너지,Dark energy
Black holes,블랙홀,Black holes
Gravitational waves,중력파,Gravitational waves
Nuclear Physics,핵물리학,Nuclear Physics
Nuclear structure,핵구조,Nuclear structure
Nuclear reactions,핵반응,Nuclear reactions
Radioactivity,방사능,Radioactivity
Fission,핵분열,Nuclear fission
Fusion,핵융합,Nuclear fusion
Atomic and Molecular,원자 및 분자,Atomic and Molecular Physics
Atomic structure,원자 구조,Atomic structure
Atomic spectroscopy,원자 분광학,Atomic spectroscopy
Molecular physics,분자 물리학,Molecular physics
Collisions,충돌,Atomic collisions
Quantum Information,양자 정보,Quantum Information
Quantum computing,양자 컴퓨팅,Quantum computing
Quantum entanglement,양자 얽힘,Quantum entanglement
Quantum cryptography,양자 암호학,Quantum cryptography
Quantum measurement,양자 측정,Quantum measurement
